feed_rate,depth_of_cut,spindle_speed,tool_condition,nn_dist_energy,nn_dist_roughness,is_ood_energy,is_ood_roughness,is_ood_any
0.0940579583295171,0.3023497553833459,11169.40903355066,0.053,0.2773048841475053,0.6492107493471824,True,True,True
0.0928469902436068,0.2840869433433631,10892.932499137256,0.053,0.2398816128209609,0.6433766185805675,True,True,True
0.0945401271908112,0.3129164677807432,11084.141119947528,0.053,0.2692238175428483,0.6421859828999691,True,True,True
0.092531968520804,0.3077207366162683,10467.301195068532,0.053,0.19355960420611237,0.6441845941941075,False,True,True
0.0923452955495015,0.2609904753125267,11322.877315188258,0.053,0.2889607667936446,0.6401313372940874,True,True,True
0.0909071847950203,0.2536758859190761,11203.657286471293,0.053,0.2690599471502438,0.638838167571201,True,True,True
0.0914294183074906,0.2500990105011755,11109.059434645982,0.053,0.25939919296927266,0.6390684842352881,True,True,True
0.0907176598544522,0.306905679079617,11042.774334260454,0.053,0.24712771656297017,0.6437192040662152,True,True,True
0.0929409814830604,0.3379304609290243,10865.06416470808,0.053,0.23701949453688717,0.6166100045968347,True,True,True
0.0928468848683527,0.2837036605232648,10920.893123073613,0.053,0.24332676294135408,0.6433097329770028,True,True,True
0.0915212753243265,0.270466958062306,11458.321909633129,0.053,0.3027781713095299,0.6402097827687068,True,True,True
0.092531968520804,0.2846936386306077,10619.305092021556,0.053,0.20759599966176887,0.6431179741034553,True,True,True
0.0947048193277812,0.3360683779015671,11268.730594181989,0.053,0.2927015693119247,0.6212573892038135,True,True,True
0.09265412987745,0.3176178940662989,11334.411966787817,0.053,0.29167752085474863,0.634737466030816,True,True,True
0.0918955083935803,0.2500990105011755,11374.600804284808,0.053,0.29363060948086006,0.639405195502122,True,True,True
0.0913758935367994,0.3268647391005536,11034.792788352794,0.053,0.24952947935939077,0.6249745943701895,True,True,True
0.0945787646640453,0.3227193131801806,10838.586841416503,0.053,0.242528984088814,0.6330032249839996,True,True,True
0.0933084987239055,0.3026135731897285,11248.504462159735,0.053,0.2837405057645886,0.6480991941296588,True,True,True
0.0918955083935803,0.2500263306736821,11116.070732870005,0.053,0.26289447823157924,0.639405171952924,True,True,True
0.0933084987239055,0.28605465427596,10974.415693472702,0.053,0.2521369731946131,0.64434373315814,True,True,True
0.0926571970450038,0.2797756077025662,10793.451732892914,0.053,0.22702258270202164,0.6424430709173854,True,True,True
0.0908821851509825,0.2901293671374758,11034.174445283796,0.053,0.24687987577122625,0.642946836402679,True,True,True
0.0924502083073848,0.3114438562070554,10969.6474107824,0.053,0.2471757362444098,0.6404477977179722,True,True,True
0.0927303380037366,0.2612197700882654,11179.295169871408,0.053,0.27305763377112424,0.6405683687181016,True,True,True
0.0924674015048058,0.2803138451931345,10605.32843926924,0.053,0.20591017842782916,0.6423159989502254,True,True,True
0.0922377067872072,0.3350431260650613,10808.780521827295,0.053,0.226607828578823,0.6183184107806968,True,True,True
0.0898631188359958,0.2781839247182009,10912.48078908505,0.053,0.2274200031627584,0.640680911372083,True,True,True
0.0930692304917007,0.2557331354649369,11082.318714686444,0.053,0.2631243882217008,0.640754478891423,True,True,True
0.0921932699037315,0.2784477940407306,10599.064040416562,0.053,0.20407095497570668,0.6417573190546806,True,True,True
0.0918939230128507,0.3428331190334222,10944.54363479524,0.053,0.24099751481613832,0.6112509798277289,True,True,True
0.0928474122619881,0.270466958062306,11458.321909633129,0.053,0.3085076406648602,0.6414654046719107,True,True,True
