,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
676,0.09459634887202559,-0.014511989425188885,0.0037457028158680832,-0.04175433853185193,-0.0005987418555568172,-0.007090297845612489,-0.03947752591351351,0.021108338540943312,0.0327832952154345,0.0,-0.020733484509139165,0.009542231780160972,0.006009479454353381,0.020995992148732594,0.009141138041264603,0.0
66,-0.09640956462079385,-0.003290119149046966,-0.0013408370874478626,0.030601926624322776,-0.005399851261989688,-0.013000811225491531,0.01028619355890877,0.0022274118994659374,0.01916967790701802,0.0,-0.026826792668741502,-0.01035302664712926,0.003565846448959972,0.014025561618214319,-0.0017112489659359942,0.0
741,-0.10860368401443712,0.009386143693888752,0.008335803348976895,-0.019653421230783237,-0.013664804326143597,-0.02051127017540236,-0.01119899932928413,-0.006780555138739286,-0.02878334855324623,0.0,-0.036988190615902194,-0.007612993030263895,-0.0007064934220933627,-0.013239706960493952,0.002407944084324038,0.0
777,-0.09510207892793741,0.003428647031088667,0.010433932811640952,-0.029941063975125883,-0.0021784429424195873,0.013925935468142449,-0.008473420399643801,-0.002721575405716207,-0.03516458969458966,0.0,-0.04747510903105164,-0.0026527089584501428,-0.0001938451074019146,0.01592145895938821,-0.0024184308277063345,0.0
539,-0.052758403939329505,0.002430927226768048,-0.000667502706281601,-0.030323201840915786,0.0047088159906049695,0.029649885254526574,0.04267063970025711,0.00596442482587372,-0.02764285794672209,0.0,0.15738873788668767,0.009242349212357259,0.015585856657085808,0.025614708388702747,0.022884433079760853,0.0
334,-0.07351874320125285,0.051940603758472884,0.003608289847329253,0.013439351375847348,-0.0003832766635832769,-0.019265376932973293,-0.00863251992261226,-0.010339680342093762,-0.027575486500912537,0.0,-0.12373102973266797,-0.03123012052475374,-0.01307850149439905,-0.0173000555732373,-0.00559207400676187,0.0
494,-0.06649248537602952,-0.012023882223081473,-0.0027146640256035122,-0.0033377562052433088,-0.0011509603068923133,0.01154881619078257,0.015389881737478439,0.007367368651810649,0.02427291085475837,0.0,0.039010689746789916,0.028748649297480944,0.0020331443045355627,0.02130498338192147,0.00645134875042567,0.0
512,-0.06571676966264016,-0.004150269917688178,-0.002777683302371073,0.021715342376859577,-0.001172655661662202,0.01308746059032569,0.014908221665361331,0.008979474101259415,0.026449861286452627,0.0,0.050655793615860804,0.030509656404196315,0.003694301570131548,0.025039350457087176,0.006780906615020376,0.0
579,0.028041685680660098,0.03246455034206624,-0.006868810751507917,-0.09776260073426432,0.0056582882960657605,0.02490008690833759,0.017157106278109586,0.005072156476307828,0.01646838090406237,0.0,0.14520127269131783,0.02878900236159831,0.009677414513483439,0.027670484426570097,0.019271176855506722,0.0
451,-0.03662950966012077,-0.014376571217333342,-0.0018803314373859418,0.004916742798973941,0.004122610211072915,-0.015010200817692665,-0.013743223570674274,0.0009737886196527507,-0.023593391012461072,0.0,-0.05308264718062079,-0.03679192530610538,-0.0041779856222372526,-0.014504803473245564,-0.007910878266033922,0.0
208,0.10402795684902717,-0.19092635990631934,0.003622838082337731,0.04783489166945961,0.0072119450327563644,0.09394407552876709,0.012797542385818818,0.003657562658584495,0.00557854363457628,0.0,0.2662230791181981,0.090385567576903,0.01255928146301246,-0.014346876769384372,-0.0030910049514177567,0.0
309,0.07513792227249644,-0.04799103748042879,-0.009740360277338435,-0.004857859191880702,-0.007821123164831606,0.002661868498544255,-0.0006822478622951813,0.006506296551052013,0.013017069455363788,0.0,-0.12258128714758669,0.019159072158496476,0.005840153793392512,0.04182445023245779,0.003721863773762261,0.0
684,0.09459634887202559,-0.014511989425188885,0.0037457028158680832,-0.04175433853185193,-0.0005987418555568172,-0.007090297845612489,-0.03947752591351351,0.021108338540943312,0.0327832952154345,0.0,-0.020733484509139165,0.009542231780160972,0.006009479454353381,0.020995992148732594,0.009141138041264603,0.0
820,-0.06462062740325714,-0.01699504604413918,0.007578049524051542,0.0005455728333786359,0.0016950557459409162,0.020215385024965248,0.028616529455133845,-0.001152730686236819,-0.02456581134214204,0.0,-0.03661265232508643,-0.0005572802212569399,0.0040148798335588685,0.014742155571641742,-0.002914684545020777,0.0
547,-0.06318562708921838,-0.027957614100170034,-5.075724742636694e-05,-0.019477050464320883,0.003162858835238578,0.020273857449105655,0.017546535335257026,0.0024640860250681783,-0.031319696197019735,0.0,0.03758132053151047,0.01305377172968805,0.011984943220756062,0.02891044344868267,0.025479549023559454,0.0
381,0.1509572884252403,0.06723767630100277,0.03572069117781908,0.05438300106529841,0.0024395112963851275,0.02128656065886083,0.007640186729811778,0.019499990128204806,0.02996157194071978,0.0,0.0448839202459704,0.03932454517223908,0.008261623366965388,0.031207341046938106,-0.0018857860686442517,0.0
656,0.09805513230554955,-0.018954707155343687,0.005988358079360959,-0.02619090477150722,0.005878005498268098,-0.004095855507115304,-0.0002188349267683323,0.0004659191996109906,0.035637299522381954,0.0,-0.021612746354759488,0.010335546771404793,0.007915876022632792,0.021511402373090047,-0.006846959651917158,0.0
