Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,Workpiece,Filename,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T,time_s
G0,0.0,0.0,0.0,0.0,0.0,0.029304011887800668,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.165855425999999,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.024735717782276224,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.92688442,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.042336477507294946,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.011164958000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.022155152974871962,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.28888644,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03528320607847145,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.417928748000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02729417270912327,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.913381352,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03797475656442245,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,8.165332158,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.034889766698527086,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.8793173900000015,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.0338441385111007,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.663990786,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02409651299014251,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.102536532000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.021026881977044862,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.916587368,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.029557650704596934,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.694848722000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.023199483197994433,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.9161866220000014,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.01873539848719924,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.3229504059999995,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.029314688236481187,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.941434024,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.028493169454456083,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.155435858000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02186521251671323,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.4018986479999995,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02225546920609365,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.352205339999999,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02460947531578453,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.407909934,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.022566731789378437,0.0037002083333333336,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.69016221,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.0238666392246894,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.126180929999999,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03300276318762692,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.792354096000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.025422371720476594,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.126180928,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.025512372419262883,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.5895733320000005,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02614971459954088,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.8304255860000005,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.019417527523421373,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.987520570000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.025146355089124602,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.1061433040000015,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.025035435075850127,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.792354094,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.026671234952699255,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.019981518000002,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.02889804793313665,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.404425676000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.027410106226410033,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.92259866,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.022992560075251745,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.648483950000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.035919004049093164,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.330564706000001,0.024
