number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
62,0.05180737780271875,2026-06-27 21:13:34.811372,2026-06-27 21:13:36.282751,0 days 00:00:01.471379,0.9235648414685368,0.007171971139144341,6,1,850,0.022164788611563884,0.5282834341187486,0.8675523491982624,COMPLETE
63,0.05190499787125828,2026-06-27 21:13:36.289263,2026-06-27 21:13:37.884772,0 days 00:00:01.595509,0.9509868844628905,0.0070701477249298286,6,2,950,0.025772921810113033,0.5366385012412738,0.8634778617640636,COMPLETE
64,0.05250351483718156,2026-06-27 21:13:37.891281,2026-06-27 21:13:39.817477,0 days 00:00:01.926196,0.9616579251615869,0.005106778683090725,7,2,1000,0.020640647499363816,0.5694395316280132,0.8530247872522763,COMPLETE
65,0.05470030126779436,2026-06-27 21:13:39.823486,2026-06-27 21:13:41.379400,0 days 00:00:01.555914,0.9289168728438356,0.004057502413106564,6,2,950,0.055600929494631184,0.9742301980067003,0.8277271838721671,COMPLETE
66,0.057950320242288,2026-06-27 21:13:41.385404,2026-06-27 21:13:42.591318,0 days 00:00:01.205914,0.9992604815730224,0.007133219468719586,6,4,850,0.2906092823900975,0.5087512803092054,0.8679168623064442,COMPLETE
67,0.05336391039789494,2026-06-27 21:13:42.594821,2026-06-27 21:13:43.979331,0 days 00:00:01.384510,0.9521325126783937,0.005613676267534844,6,3,900,0.014613367839923334,0.2301375507041578,0.8392775122662929,COMPLETE
68,0.05419441213667172,2026-06-27 21:13:43.985334,2026-06-27 21:13:45.681328,0 days 00:00:01.695994,0.9752038575801003,0.0033853803032038296,7,2,950,0.042443070919401915,0.02969468475051807,0.9018770373381328,COMPLETE
69,0.05332547205570805,2026-06-27 21:13:45.689339,2026-06-27 21:13:46.969342,0 days 00:00:01.280003,0.8599872480533408,0.010757202309323297,6,2,800,0.17718652242930844,0.49460661394105154,0.7939577386120513,COMPLETE
70,0.05148758613231443,2026-06-27 21:13:46.974895,2026-06-27 21:13:48.265392,0 days 00:00:01.290497,0.9232206967851718,0.007819893552780847,5,1,850,0.01018990732082726,0.12981620088772325,0.8650568471776225,COMPLETE
71,0.05163502902333657,2026-06-27 21:13:48.270637,2026-06-27 21:13:49.550739,0 days 00:00:01.280102,0.9225848410451786,0.007495056933684396,5,1,900,0.009731182783720368,0.13180568820207272,0.8693480941423662,COMPLETE
72,0.05164824674661219,2026-06-27 21:13:49.559253,2026-06-27 21:13:50.779179,0 days 00:00:01.219926,0.9237515501313528,0.00726471506760427,5,1,900,0.009986149226177361,0.12993560937647405,0.8216162343632231,COMPLETE
73,0.052469950793203955,2026-06-27 21:13:50.784683,2026-06-27 21:13:52.256874,0 days 00:00:01.472191,0.9223574917560181,0.008401484001651912,5,1,1000,0.007977884274860417,0.119775335012463,0.759930439593854,COMPLETE
74,0.05235933093323275,2026-06-27 21:13:52.261701,2026-06-27 21:13:53.504958,0 days 00:00:01.243257,0.9494839750781763,0.006054835204593632,5,1,900,0.09297673852562223,0.11855956392800357,0.8218311905267635,COMPLETE
75,0.05189870365759815,2026-06-27 21:13:53.510476,2026-06-27 21:13:54.714515,0 days 00:00:01.204039,0.8939063764071347,0.007519898223336951,5,1,850,0.00403759340448318,9.204664173441347e-07,0.8599173057806624,COMPLETE
76,0.05263646385806982,2026-06-27 21:13:54.721025,2026-06-27 21:13:55.920884,0 days 00:00:01.199859,0.8886642661208024,0.004500487114956074,5,1,850,0.004169163092883673,1.426424613183341e-06,0.8465744840556942,COMPLETE
77,0.051048774796106956,2026-06-27 21:13:55.924886,2026-06-27 21:13:57.179161,0 days 00:00:01.254275,0.5991229515793086,0.007689572435871971,5,1,850,0.007893139740978584,6.145218818309377e-07,0.8211618349016855,COMPLETE
78,0.05103833345384989,2026-06-27 21:13:57.185164,2026-06-27 21:13:58.462957,0 days 00:00:01.277793,0.6259283449680134,0.0052914759765881995,5,1,900,0.0083232877373936,2.6810245953379815e-07,0.8203566979226464,COMPLETE
79,0.05154626532137367,2026-06-27 21:13:58.468466,2026-06-27 21:13:59.773005,0 days 00:00:01.304539,0.5675103552723877,0.005003950990407123,5,1,900,0.010217683502828612,2.9082491762370345e-07,0.7643352615522911,COMPLETE
80,0.07383328799960198,2026-06-27 21:13:59.779015,2026-06-27 21:14:01.074520,0 days 00:00:01.295505,0.5924538439163465,0.002018456592066568,5,1,1000,0.03901879604926303,2.8730978433179594e-07,0.7706315301540239,COMPLETE
81,0.051185111538474326,2026-06-27 21:14:01.082763,2026-06-27 21:14:02.401181,0 days 00:00:01.318418,0.5645301754958238,0.005416723122162133,5,1,900,0.008098995620922658,3.5862614825662703e-07,0.738077527478877,COMPLETE
82,0.05130743754794063,2026-06-27 21:14:02.407187,2026-06-27 21:14:03.657073,0 days 00:00:01.249886,0.5704448530566183,0.004964049602371473,5,1,900,0.006369766003243318,3.7348840824284666e-07,0.7369333149269657,COMPLETE
