number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
54,7.396471572158106e-06,2026-06-27 21:09:52.859173,2026-06-27 21:09:53.319443,0 days 00:00:00.460270,0.23097452213560432,179,5,950,0.015307103165325481,0.2386172972313168,COMPLETE
55,7.272350543056773e-06,2026-06-27 21:09:53.329354,2026-06-27 21:09:53.944634,0 days 00:00:00.615280,0.19989648031636878,166,4,800,0.060622258586306065,0.11909245958142528,COMPLETE
56,7.956586636160613e-06,2026-06-27 21:09:53.949421,2026-06-27 21:09:54.819240,0 days 00:00:00.869819,0.19334710174024305,184,9,900,0.0956079981026932,0.20633376910495158,COMPLETE
57,7.775894601980042e-06,2026-06-27 21:09:54.819240,2026-06-27 21:09:55.839020,0 days 00:00:01.019780,0.2813789716424549,226,5,700,0.14214038389138803,0.021182357178829624,COMPLETE
58,7.176270429236226e-06,2026-06-27 21:09:55.844952,2026-06-27 21:09:56.430948,0 days 00:00:00.585996,0.051572552421497525,197,4,650,0.026975215286697246,0.08754669543761583,COMPLETE
59,7.2074218428250245e-06,2026-06-27 21:09:56.430948,2026-06-27 21:09:56.839202,0 days 00:00:00.408254,0.12794247652670812,206,4,650,0.025260305741477154,0.13086437937600448,COMPLETE
60,7.32307058311062e-06,2026-06-27 21:09:56.839202,2026-06-27 21:09:57.369250,0 days 00:00:00.530048,0.05718151809537905,172,5,600,0.007880541140868887,0.088840399564176,COMPLETE
61,7.266331918066996e-06,2026-06-27 21:09:57.382127,2026-06-27 21:09:57.819300,0 days 00:00:00.437173,0.12228559327690994,208,4,550,0.02772678911832361,0.1161814178323058,COMPLETE
62,7.279899510778237e-06,2026-06-27 21:09:57.839407,2026-06-27 21:09:58.229080,0 days 00:00:00.389673,0.10926652534019823,197,4,650,0.016224580017607706,0.1418631272966582,COMPLETE
63,7.202516665148165e-06,2026-06-27 21:09:58.234984,2026-06-27 21:09:58.669167,0 days 00:00:00.434183,0.14290106049975326,219,4,700,1.0831609366583514,0.18180652366865116,COMPLETE
64,7.229848836058181e-06,2026-06-27 21:09:58.671696,2026-06-27 21:09:59.029263,0 days 00:00:00.357567,0.1706103852487641,219,4,750,0.929330469882213,0.260503187686549,COMPLETE
65,7.252571122866644e-06,2026-06-27 21:09:59.041008,2026-06-27 21:09:59.539259,0 days 00:00:00.498251,0.051972197974302234,231,4,700,1.9679016605381976,0.18244930393710634,COMPLETE
66,7.557599548890996e-06,2026-06-27 21:09:59.539259,2026-06-27 21:10:00.309178,0 days 00:00:00.769919,0.08739782989441004,247,5,750,0.7378379410758528,0.050144701783281176,COMPLETE
67,7.699967146959256e-06,2026-06-27 21:10:00.336097,2026-06-27 21:10:03.178932,0 days 00:00:02.842835,0.21518952612974596,254,8,800,5.381034452746358,0.02913768589896676,COMPLETE
68,7.136081604191307e-06,2026-06-27 21:10:03.178932,2026-06-27 21:10:03.612325,0 days 00:00:00.433393,0.2721830255244586,222,4,600,3.306316349835955,0.20841009659928186,COMPLETE
69,7.1038968834731345e-06,2026-06-27 21:10:03.612325,2026-06-27 21:10:04.400817,0 days 00:00:00.788492,0.28826258110282466,198,5,550,8.89188364227558,0.07832107795283548,COMPLETE
