number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
54,0.050696418806372635,2026-06-27 21:14:28.976955,2026-06-27 21:14:29.282478,0 days 00:00:00.305523,0.9630520182589838,172,7,300,0.0258229007241091,0.20241555315335,COMPLETE
55,0.055722624990080113,2026-06-27 21:14:29.286541,2026-06-27 21:14:29.628161,0 days 00:00:00.341620,0.9631982905771512,171,8,300,0.02517334965100978,0.29185150095352574,COMPLETE
56,0.05145176847497851,2026-06-27 21:14:29.628161,2026-06-27 21:14:29.906905,0 days 00:00:00.278744,0.9979154447735543,179,7,250,0.030201684867985426,0.19103960769111988,COMPLETE
57,0.0514862033136928,2026-06-27 21:14:29.916910,2026-06-27 21:14:30.216749,0 days 00:00:00.299839,0.9819204115359221,165,7,250,0.02756460399027656,0.21271823376440901,COMPLETE
58,0.05111212903056252,2026-06-27 21:14:30.216749,2026-06-27 21:14:30.506452,0 days 00:00:00.289703,0.9984095982893886,144,7,350,0.028053231319782462,0.2040495062275805,COMPLETE
59,0.055310074515481054,2026-06-27 21:14:30.516938,2026-06-27 21:14:30.866651,0 days 00:00:00.349713,0.9577686675936299,142,8,350,0.02933924623890011,0.19916047019013233,COMPLETE
60,0.052691021204826397,2026-06-27 21:14:30.866651,2026-06-27 21:14:31.216681,0 days 00:00:00.350030,0.9959834518677132,132,7,400,0.10650360614148972,0.18141917378524536,COMPLETE
61,0.05107285564013294,2026-06-27 21:14:31.216681,2026-06-27 21:14:31.506851,0 days 00:00:00.290170,0.9018119324395566,161,7,300,0.014907030489248962,0.24498846256842902,COMPLETE
62,0.05139335987560757,2026-06-27 21:14:31.506851,2026-06-27 21:14:31.776738,0 days 00:00:00.269887,0.9079250611226952,158,7,250,0.03130591207762974,0.26850190933395884,COMPLETE
63,0.0527676859991054,2026-06-27 21:14:31.786690,2026-06-27 21:14:32.116491,0 days 00:00:00.329801,0.8914140935206206,158,7,250,0.03275871816391133,0.2604926522782913,COMPLETE
64,0.05190413308927584,2026-06-27 21:14:32.126577,2026-06-27 21:14:32.504593,0 days 00:00:00.378016,0.9111243055560682,162,7,300,0.01688392550371518,0.1348297050925818,COMPLETE
65,0.05135953365493394,2026-06-27 21:14:32.506595,2026-06-27 21:14:32.798637,0 days 00:00:00.292042,0.19423282425148014,147,7,350,0.0459319699819629,0.25920011544281063,COMPLETE
66,0.05513216992007919,2026-06-27 21:14:32.798637,2026-06-27 21:14:33.156788,0 days 00:00:00.358151,0.24261305403572236,90,8,450,0.044841487141776555,0.24441147883082578,COMPLETE
67,0.052954436030605144,2026-06-27 21:14:33.156788,2026-06-27 21:14:33.500971,0 days 00:00:00.344183,0.09952991450679938,147,7,350,0.08635555183467221,0.1731978933067895,COMPLETE
68,0.056919191387565696,2026-06-27 21:14:33.506899,2026-06-27 21:14:33.856683,0 days 00:00:00.349784,0.38104083881024864,134,8,450,0.021390276403019277,0.2990020534761431,COMPLETE
69,0.05262141016019396,2026-06-27 21:14:33.864646,2026-06-27 21:14:34.336751,0 days 00:00:00.472105,0.4401402110193778,126,7,400,0.0628594717248783,0.12597158104188452,COMPLETE
70,0.05261654595381441,2026-06-27 21:14:34.336751,2026-06-27 21:14:34.644606,0 days 00:00:00.307855,0.13992716162625296,113,7,350,0.03428077159464042,0.1657007596206966,COMPLETE
71,0.051297994166189555,2026-06-27 21:14:34.646613,2026-06-27 21:14:34.908252,0 days 00:00:00.261639,0.9993723160177792,148,7,250,0.028797742439058055,0.2500591750121806,COMPLETE
72,0.23072186488261356,2026-06-27 21:14:34.916615,2026-06-27 21:14:35.576734,0 days 00:00:00.660119,0.8611902681067546,153,7,250,0.01874206335359399,0.0011053977603243197,COMPLETE
73,0.05165702630701481,2026-06-27 21:14:35.576734,2026-06-27 21:14:35.868400,0 days 00:00:00.291666,0.9406631998383722,147,7,300,0.04798762436672168,0.24765292679532405,COMPLETE
74,0.05271562582173572,2026-06-27 21:14:35.876411,2026-06-27 21:14:36.168812,0 days 00:00:00.292401,0.2918422702965962,137,7,100,0.008019504629700547,0.1798864149096108,COMPLETE
75,0.05465158250446506,2026-06-27 21:14:36.176407,2026-06-27 21:14:36.516890,0 days 00:00:00.340483,0.9161607404660597,177,8,250,0.01571020982689466,0.2683035956461783,COMPLETE
76,0.0527859031527083,2026-06-27 21:14:36.516890,2026-06-27 21:14:36.896658,0 days 00:00:00.379768,0.9975533690082461,186,7,350,0.08037101360296986,0.13970194381264298,COMPLETE
77,0.0510432659807061,2026-06-27 21:14:36.896658,2026-06-27 21:14:37.232675,0 days 00:00:00.336017,0.9350000406186649,127,7,300,0.02251808831274755,0.21518619880576575,COMPLETE
78,0.05425945109919546,2026-06-27 21:14:37.236713,2026-06-27 21:14:37.588625,0 days 00:00:00.351912,0.9435172397043928,126,8,300,0.023170891773225052,0.2240211216332762,COMPLETE
79,0.05179926675965615,2026-06-27 21:14:37.588625,2026-06-27 21:14:37.966545,0 days 00:00:00.377920,0.5396889009477981,119,7,400,0.01056885981970285,0.0998998749281331,COMPLETE
80,0.0547050323478386,2026-06-27 21:14:37.966545,2026-06-27 21:14:38.446758,0 days 00:00:00.480213,0.8509322007974226,144,8,350,0.044025226277608215,0.15398973498574947,COMPLETE
81,0.05160830010926004,2026-06-27 21:14:38.450766,2026-06-27 21:14:38.840609,0 days 00:00:00.389843,0.8884968411419845,98,7,300,0.030690825662925456,0.19375641717548567,COMPLETE
82,0.05179232786981447,2026-06-27 21:14:38.840609,2026-06-27 21:14:39.131716,0 days 00:00:00.291107,0.9994492743613026,159,7,150,0.037734222186848375,0.23550725188571695,COMPLETE
83,0.05259439899600987,2026-06-27 21:14:39.136627,2026-06-27 21:14:39.397014,0 days 00:00:00.260387,0.9451854932751993,162,7,250,0.054128560420030766,0.29879305373322346,COMPLETE
84,0.052814087464913395,2026-06-27 21:14:39.397014,2026-06-27 21:14:39.789804,0 days 00:00:00.392790,0.9112805865771423,65,7,450,0.02489820960032944,0.12114280048249383,COMPLETE
