number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
86,0.35406345573846343,2026-06-27 21:17:26.242490,2026-06-27 21:17:26.778626,0 days 00:00:00.536136,0.7337469911750869,0.12749394123844038,5,1,550,0.0013297638253376065,0.011422744498703875,0.9395219403599495,COMPLETE
87,0.35476386509206825,2026-06-27 21:17:26.784702,2026-06-27 21:17:27.506749,0 days 00:00:00.722047,0.6909780038575459,0.0708322564171706,6,2,600,0.000662416628368552,0.0031603167428862922,0.9724083570416627,COMPLETE
88,0.22069814630011847,2026-06-27 21:17:27.510117,2026-06-27 21:17:28.126996,0 days 00:00:00.616879,0.7247738682934254,0.09799189947625699,6,1,700,0.002991510905512332,6.842950290024154e-08,0.9436706969493979,COMPLETE
89,0.43120577036581215,2026-06-27 21:17:28.132290,2026-06-27 21:17:28.894800,0 days 00:00:00.762510,0.7774335038119479,0.09797444584901925,5,2,700,0.0032382289763271564,7.258376059302378e-08,0.9447885327703642,COMPLETE
90,0.22482090399073443,2026-06-27 21:17:28.902316,2026-06-27 21:17:29.480850,0 days 00:00:00.578534,0.7510112240327991,0.10716144499787175,6,1,650,0.0009978290676885323,1.8190803810447266e-08,0.9246392817584222,COMPLETE
91,0.24237507311073658,2026-06-27 21:17:29.488360,2026-06-27 21:17:30.016953,0 days 00:00:00.528593,0.759617793531627,0.14678910658895902,6,1,650,0.0003301189189283295,3.984493972062189e-08,0.9250648820358733,COMPLETE
92,0.23750857106877565,2026-06-27 21:17:30.024132,2026-06-27 21:17:30.554897,0 days 00:00:00.530765,0.7516735388408757,0.14626480712966047,6,1,650,0.00011330801051144402,3.526931610410639e-08,0.9186531653545645,COMPLETE
93,0.2596917185909531,2026-06-27 21:17:30.562407,2026-06-27 21:17:31.099018,0 days 00:00:00.536611,0.7604633758764533,0.20036724175004217,6,1,650,6.971176450115646e-05,3.59596484940626e-08,0.9321147046114511,COMPLETE
94,0.24216950793632536,2026-06-27 21:17:31.107029,2026-06-27 21:17:31.678839,0 days 00:00:00.571810,0.7593803874261573,0.14382443405644632,6,1,650,0.00010691964849093193,4.0307688276474405e-08,0.9265736616094378,COMPLETE
95,0.23979289413667626,2026-06-27 21:17:31.684778,2026-06-27 21:17:32.250246,0 days 00:00:00.565468,0.7476584938527882,0.14396700149746844,6,1,700,0.00012633157766852668,1.6977720160273156e-07,0.921992000994097,COMPLETE
96,0.28019164833800836,2026-06-27 21:17:32.254952,2026-06-27 21:17:32.887966,0 days 00:00:00.633014,0.7462920732595194,0.14188007173906597,7,1,700,0.00013970194498589492,1.577181569678404e-07,0.9581750276777323,COMPLETE
97,0.349944314258091,2026-06-27 21:17:32.894730,2026-06-27 21:17:33.504856,0 days 00:00:00.610126,0.7343146594199662,0.11238304929710906,10,1,700,3.179324270007589e-05,8.5053829324907e-08,0.8988066849422799,COMPLETE
98,0.444415381220986,2026-06-27 21:17:33.511310,2026-06-27 21:17:34.168540,0 days 00:00:00.657230,0.7705895018925354,0.2533228000792189,5,2,750,1.1863789594248476e-05,3.1645089290786274e-07,0.9830830467256395,COMPLETE
99,0.4126314439236773,2026-06-27 21:17:34.174805,2026-06-27 21:17:34.806578,0 days 00:00:00.631773,0.7550452287107203,0.18972977302727453,6,2,650,0.0003896256454077491,4.8393939313316925e-08,0.9107574595604828,COMPLETE
