number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
83,0.5303818160543284,2026-06-27 21:17:58.060663,2026-06-27 21:17:58.854390,0 days 00:00:00.793727,0.4331234766825529,230,4,900,1.6000370918901894,0.1393767416437222,COMPLETE
84,0.48758204731065413,2026-06-27 21:17:58.861891,2026-06-27 21:17:59.546225,0 days 00:00:00.684334,0.5023156955348851,214,4,750,0.9792824673876344,0.18222710275751497,COMPLETE
85,0.4477220868405321,2026-06-27 21:17:59.546225,2026-06-27 21:18:00.309564,0 days 00:00:00.763339,0.3967638051661787,210,4,900,0.017017748253751814,0.09314268922388289,COMPLETE
86,1.2920434421505549,2026-06-27 21:18:00.314670,2026-06-27 21:18:02.816236,0 days 00:00:02.501566,0.5234702578752514,241,9,800,4.132068285206136,0.22137356259697588,COMPLETE
87,0.3750304673866859,2026-06-27 21:18:02.819240,2026-06-27 21:18:03.654500,0 days 00:00:00.835260,0.43593462099302965,222,4,850,0.7263712627488893,0.13060134868009018,COMPLETE
88,0.44232498350684785,2026-06-27 21:18:03.656008,2026-06-27 21:18:04.434525,0 days 00:00:00.778517,0.44526131694187904,238,4,850,1.2470318049191644,0.12825690067072665,COMPLETE
89,0.6131498673448693,2026-06-27 21:18:04.444443,2026-06-27 21:18:05.281669,0 days 00:00:00.837226,0.48022965385035943,205,4,900,1.9506584097489725,0.07761445146174589,COMPLETE
90,0.5309631184195343,2026-06-27 21:18:05.284179,2026-06-27 21:18:06.384498,0 days 00:00:01.100319,0.05606613578979763,228,5,950,0.748242007470598,0.05606029570545624,COMPLETE
91,0.3883955718825536,2026-06-27 21:18:06.394365,2026-06-27 21:18:07.105258,0 days 00:00:00.710893,0.42799993457130203,223,4,850,0.5016708265410589,0.1551312624053309,COMPLETE
92,0.3724434076500308,2026-06-27 21:18:07.105258,2026-06-27 21:18:07.864169,0 days 00:00:00.758911,0.6085969107520954,214,4,800,0.20337301264602484,0.10353135587423798,COMPLETE
93,0.3845981324945899,2026-06-27 21:18:07.864169,2026-06-27 21:18:08.626492,0 days 00:00:00.762323,0.3528339028446793,212,4,800,1.0702904670171451,0.10649381435250706,COMPLETE
94,0.5079592988928292,2026-06-27 21:18:08.629998,2026-06-27 21:18:09.014395,0 days 00:00:00.384397,0.6099106314559345,231,4,350,0.20507369478303433,0.17592982421685305,COMPLETE
95,0.45239978260966485,2026-06-27 21:18:09.024327,2026-06-27 21:18:09.824253,0 days 00:00:00.799926,0.3158438006494817,255,4,950,1.5097246834294757,0.09626016736015168,COMPLETE
96,0.45262379652830986,2026-06-27 21:18:09.824253,2026-06-27 21:18:10.514521,0 days 00:00:00.690268,0.3956216121603346,195,4,750,0.6291004112344876,0.11807079365757893,COMPLETE
97,0.48308998976369566,2026-06-27 21:18:10.524455,2026-06-27 21:18:11.199033,0 days 00:00:00.674578,0.6744988858624823,246,4,900,0.4861427151121617,0.1388380306469191,COMPLETE
98,0.8810500269728603,2026-06-27 21:18:11.204558,2026-06-27 21:18:11.994135,0 days 00:00:00.789577,0.46736585363986805,186,7,850,0.31662373637659763,0.21660629796282313,COMPLETE
99,0.6508728605141672,2026-06-27 21:18:11.995373,2026-06-27 21:18:12.979334,0 days 00:00:00.983961,0.2832825925821563,234,5,900,0.7596944370650371,0.08853701464016653,COMPLETE
